Loan_ID,Customer_ID,Loan_Type,Loan_Amount,Loan_Purpose,Origination_Date,Credit_Score,Interest_Rate,Loan_Term_Months,Monthly_Installment,Number_of_Active_Loans,Total_Debt,Debt_to_Income,Loan_to_Income,Previous_Defaults,Days_Past_Due,Payment_History_Ratio,Credit_Utilization,Collateral_Type,Default_Flag,Loan_Status
LOAN_00001,CUST_03997,Auto,1770.83,Motorcycle,2025-04-01,545,9.31,72,32.19,1,3929.99,0.2548,1.1683,0,6,0.9353,0.6035,Used Vehicle,0,Grace Period
LOAN_00002,CUST_03369,Personal,39378.32,Relocation,2022-12-10,568,8.25,36,1238.52,4,85589.85,1.5,1.4792,1,22,0.8663,0.0187,Jewelry,1,Default
LOAN_00003,CUST_02490,Personal,15398.17,Emergency Fund,2020-03-18,638,6.39,36,471.17,4,29586.12,1.197,0.815,1,9,0.8698,0.3971,None,0,Grace Period
LOAN_00004,CUST_08119,Auto,7284.27,Commercial Vehicle,2023-08-18,549,8.39,48,179.17,3,15089.02,0.4746,0.536,0,6,1.0,0.9967,Motorcycle,0,Grace Period
LOAN_00005,CUST_07903,Personal,8707.49,Debt Consolidation,2021-11-19,559,8.23,12,758.38,2,8900.49,1.5,1.3179,0,6,0.9796,0.3483,Savings Account,1,Default
LOAN_00006,CUST_04402,Consumer,3250.77,Travel Package,2025-04-13,547,9.59,36,104.27,1,6127.98,0.0437,0.1135,0,1,1.0,0.5886,Furniture,0,Grace Period
LOAN_00007,CUST_04789,Auto,15401.97,Commercial Vehicle,2024-08-27,602,8.07,48,376.51,2,17013.99,0.4703,0.8016,0,3,0.9599,0.1747,New Vehicle,0,Grace Period
LOAN_00008,CUST_01517,Auto,56937.45,Car Refinance,2024-02-17,540,10.21,72,1060.85,4,93937.23,1.5,1.8625,0,10,0.9605,0.4328,New Vehicle,1,Default
LOAN_00009,CUST_06678,Consumer,22584.18,Furniture,2024-12-31,616,8.16,36,709.37,2,31404.58,0.2275,0.3018,0,0,0.9872,0.2316,None,0,Fully Paid
LOAN_00010,CUST_08226,Mortgage,4405.77,Primary Residence,2024-09-22,484,9.72,180,46.59,1,8224.48,0.5497,4.3318,1,14,0.8789,0.8025,Residential Property,0,Grace Period
LOAN_00011,CUST_02964,Personal,21752.05,Legal Fees,2023-11-11,597,8.31,24,986.86,1,48422.26,0.7023,1.2901,0,0,1.0,0.5247,Jewelry,0,Current
LOAN_00012,CUST_07136,Consumer,2885.23,Travel Package,2023-05-19,583,8.24,24,130.81,1,6541.56,0.1182,0.2172,0,0,0.9632,0.1593,Electronics,0,Current
LOAN_00013,CUST_06024,Personal,5984.66,Wedding,2024-10-05,564,8.66,48,147.96,4,12508.15,0.4775,0.4023,1,21,0.8485,0.2196,Fixed Deposit,0,Late (16-30 days)
LOAN_00014,CUST_03419,Personal,17080.01,Wedding,2025-05-08,571,9.45,48,428.7,1,19135.61,0.1489,0.4944,2,66,0.5912,0.1615,Savings Account,0,Late (31-90 days)
